,cardname,text,cmc,mana,type,Type
24,Camouflage,"Cast this spell only during your declare attackers step.
This turn, instead of declaring blockers, each defending player chooses any number of creatures they control and divides them into a number of piles equal to the number of attacking creatures for whom that player is the defending player. Creatures those players control that can block additional creatures may likewise be put into additional piles. Assign each pile to a different one of those attacking creatures at random. Each creature in a pile that can block the creature that pile is assigned to does so. (Piles can be empty.)",1,{G},Instant,
25,Castle,Untapped creatures you control get +0/+2.,4,{3}{W},Enchantment,
26,Celestial Prism,"{2}, {T}: Add one mana of any color.",3,{3},Artifact,
27,Chaoslace,Target spell or permanent becomes red. (Its mana symbols remain unchanged.),1,{R},Instant,
28,Circle of Protection: Blue,"{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.",2,{1}{W},Enchantment,
29,Circle of Protection: Green,"{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.",2,{1}{W},Enchantment,
30,Circle of Protection: Red,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.",2,{1}{W},Enchantment,
31,Circle of Protection: White,"{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.",2,{1}{W},Enchantment,
32,Clockwork Beast,"Clockwork Beast enters the battlefield with seven +1/+0 counters on it.
At end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate only during your upkeep.",6,{6},Artifact Creature - Beast,
33,Clone,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,4,{3}{U},Creature - Shapeshifter,
34,Cockatrice,"Flying
Whenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.",5,{3}{G}{G},Creature - Cockatrice,
35,Consecrate Land,"Enchant land
Enchanted land has indestructible and can't be enchanted by other Auras.",1,{W},Enchantment - Aura,
36,Conservator,"{3}, {T}: Prevent the next 2 damage that would be dealt to you this turn.",4,{4},Artifact,
37,Control Magic,"Enchant creature
You control enchanted creature.",4,{2}{U}{U},Enchantment - Aura,
38,Conversion,"At the beginning of your upkeep, sacrifice Conversion unless you pay {W}{W}.
All Mountains are Plains.",4,{2}{W}{W},Enchantment,
39,Copper Tablet,"At the beginning of each player's upkeep, Copper Tablet deals 1 damage to that player.",2,{2},Artifact,
40,Copy Artifact,"You may have Copy Artifact enter the battlefield as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types.",2,{1}{U},Enchantment,
41,Counterspell,Counter target spell.,2,{U}{U},Instant,
42,Craw Wurm,,6,{4}{G}{G},Creature - Wurm,
43,Creature Bond,"Enchant creature
When enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller.",2,{1}{U},Enchantment - Aura,
44,Crystal Rod,"Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.",1,{1},Artifact,
45,Cursed Land,"Enchant land
At the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.",4,{2}{B}{B},Enchantment - Aura,
46,Cyclopean Tomb,"{2}, {T}: Put a mire counter on target non-Swamp land. That land is a Swamp for as long as it has a mire counter on it. Activate only during your upkeep.
When Cyclopean Tomb is put into a graveyard from the battlefield, at the beginning of each of your upkeeps for the rest of the game, remove all mire counters from a land that a mire counter was put onto with Cyclopean Tomb but that a mire counter has not been removed from with Cyclopean Tomb.",4,{4},Artifact,
47,Dark Ritual,Add {B}{B}{B}.,1,{B},Instant,
48,Deathgrip,{B}{B}: Counter target green spell.,2,{B}{B},Enchantment,
49,Deathlace,Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.),1,{B},Instant,
50,Death Ward,Regenerate target creature.,1,{W},Instant,
51,Demonic Hordes,"{T}: Destroy target land.
At the beginning of your upkeep, unless you pay {B}{B}{B}, tap Demonic Hordes and sacrifice a land of an opponent's choice.",6,{3}{B}{B}{B},Creature - Demon,
52,Demonic Tutor,"Search your library for a card, put that card into your hand, then shuffle.",2,{1}{B},Sorcery,
53,Dingus Egg,"Whenever a land is put into a graveyard from the battlefield, Dingus Egg deals 2 damage to that land's controller.",4,{4},Artifact,
54,Disenchant,Destroy target artifact or enchantment.,2,{1}{W},Instant,
55,Disintegrate,"Disintegrate deals X damage to any target. If it's a creature, it can't be regenerated this turn, and if it would die this turn, exile it instead.",1,{X}{R},Sorcery,
56,Disrupting Scepter,"{3}, {T}: Target player discards a card. Activate only during your turn.",3,{3},Artifact,
57,Dragon Whelp,"Flying
{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.",4,{2}{R}{R},Creature - Dragon,
58,Drain Life,"Spend only black mana on X.
Drain Life deals X damage to any target. You gain life equal to the damage dealt, but not more life than the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness.",2,{X}{1}{B},Sorcery,
59,Drain Power,Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way.,2,{U}{U},Sorcery,
60,Drudge Skeletons,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",2,{1}{B},Creature - Skeleton,
61,Dwarven Demolition Team,{T}: Destroy target Wall.,3,{2}{R},Creature - Dwarf,
62,Dwarven Warriors,{T}: Target creature with power 2 or less can't be blocked this turn.,3,{2}{R},Creature - Dwarf Warrior,
63,Earthbind,"Enchant creature
When Earthbind enters the battlefield, if enchanted creature has flying, Earthbind deals 2 damage to that creature and Earthbind gains ""Enchanted creature loses flying.""",1,{R},Enchantment - Aura,
64,Earth Elemental,,5,{3}{R}{R},Creature - Elemental,
65,Earthquake,Earthquake deals X damage to each creature without flying and each player.,1,{X}{R},Sorcery,
66,Elvish Archers,First strike,2,{1}{G},Creature - Elf Archer,
67,Evil Presence,"Enchant land
Enchanted land is a Swamp.",1,{B},Enchantment - Aura,
68,False Orders,"Cast this spell only during the declare blockers step.
Remove target creature defending player controls from combat. Creatures it was blocking that had become blocked by only that creature this combat become unblocked. You may have it block an attacking creature of your choice.",1,{R},Instant,
69,Farmstead,"Enchant land
Enchanted land has ""At the beginning of your upkeep, you may pay {W}{W}. If you do, you gain 1 life.""",3,{W}{W}{W},Enchantment - Aura,
70,Fear,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)",2,{B}{B},Enchantment - Aura,
71,Feedback,"Enchant enchantment
At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.",3,{2}{U},Enchantment - Aura,
72,Fireball,"This spell costs {1} more to cast for each target beyond the first.
Fireball deals X damage divided evenly, rounded down, among any number of targets.",1,{X}{R},Sorcery,
73,Firebreathing,"Enchant creature
{R}: Enchanted creature gets +1/+0 until end of turn.",1,{R},Enchantment - Aura,
74,Fire Elemental,,5,{3}{R}{R},Creature - Elemental,
75,Flashfires,Destroy all Plains.,4,{3}{R},Sorcery,
76,Flight,"Enchant creature
Enchanted creature has flying.",1,{U},Enchantment - Aura,
77,Fog,Prevent all combat damage that would be dealt this turn.,1,{G},Instant,
78,Forcefield,"{1}: The next time an unblocked creature of your choice would deal combat damage to you this turn, prevent all but 1 of that damage.",3,{3},Artifact,
79,Force of Nature,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay {G}{G}{G}{G}.",6,{2}{G}{G}{G}{G},Creature - Elemental,
80,Forest,({T}: Add {G}.),0,,Basic Land - Forest,
81,Fork,"Copy target instant or sorcery spell, except that the copy is red. You may choose new targets for the copy.",2,{R}{R},Instant,
82,Frozen Shade,{B}: Frozen Shade gets +1/+1 until end of turn.,3,{2}{B},Creature - Shade,
83,Fungusaur,"Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.",4,{3}{G},Creature - Fungus Dinosaur,
84,Gaea's Liege,"As long as Gaea's Liege isn't attacking, its power and toughness are each equal to the number of Forests you control. As long as Gaea's Liege is attacking, its power and toughness are each equal to the number of Forests defending player controls.
{T}: Target land becomes a Forest until Gaea's Liege leaves the battlefield.",6,{3}{G}{G}{G},Creature - Avatar,
85,Gauntlet of Might,"Red creatures get +1/+1.
Whenever a Mountain is tapped for mana, its controller adds an additional {R}.",4,{4},Artifact,
86,Giant Growth,Target creature gets +3/+3 until end of turn.,1,{G},Instant,
87,Giant Spider,Reach (This creature can block creatures with flying.),4,{3}{G},Creature - Spider,
88,Glasses of Urza,{T}: Look at target player's hand.,1,{1},Artifact,
89,Gloom,"White spells cost {3} more to cast.
Activated abilities of white enchantments cost {3} more to activate.",3,{2}{B},Enchantment,
90,Goblin Balloon Brigade,{R}: Goblin Balloon Brigade gains flying until end of turn.,1,{R},Creature - Goblin Warrior,
91,Goblin King,Other Goblins get +1/+1 and have mountainwalk.,3,{1}{R}{R},Creature - Goblin,
92,Granite Gargoyle,"Flying
{R}: Granite Gargoyle gets +0/+1 until end of turn.",3,{2}{R},Creature - Gargoyle,
93,Gray Ogre,,3,{2}{R},Creature - Ogre,
94,Green Ward,"Enchant creature
Enchanted creature has protection from green. This effect doesn't remove Green Ward.",1,{W},Enchantment - Aura,
95,Grizzly Bears,,2,{1}{G},Creature - Bear,
96,Guardian Angel,"Prevent the next X damage that would be dealt to any target this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that permanent or player this turn.",1,{X}{W},Instant,
97,Healing Salve,"Choose one -
• Target player gains 3 life.
• Prevent the next 3 damage that would be dealt to any target this turn.",1,{W},Instant,
98,Helm of Chatzuk,"{1}, {T}: Target creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",1,{1},Artifact,
99,Hill Giant,,4,{3}{R},Creature - Giant,
100,Holy Armor,"Enchant creature
Enchanted creature gets +0/+2.
{W}: Enchanted creature gets +0/+1 until end of turn.",1,{W},Enchantment - Aura,
101,Holy Strength,"Enchant creature
Enchanted creature gets +1/+2.",1,{W},Enchantment - Aura,
102,Howl from Beyond,Target creature gets +X/+0 until end of turn.,1,{X}{B},Instant,
103,Howling Mine,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card.",2,{2},Artifact,
104,Hurloon Minotaur,,3,{1}{R}{R},Creature - Minotaur,
105,Hurricane,Hurricane deals X damage to each creature with flying and each player.,1,{X}{G},Sorcery,
106,Hypnotic Specter,"Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",3,{1}{B}{B},Creature - Specter,
107,Ice Storm,Destroy target land.,3,{2}{G},Sorcery,
108,Icy Manipulator,"{1}, {T}: Tap target artifact, creature, or land.",4,{4},Artifact,
109,Illusionary Mask,"{X}: You may choose a creature card in your hand whose mana cost could be paid by some amount of, or all of, the mana you spent on {X}. If you do, you may cast that card face down as a 2/2 creature spell without paying its mana cost. If the creature that spell becomes as it resolves has not been turned face up and would assign or deal damage, be dealt damage, or become tapped, instead it's turned face up and assigns or deals damage, is dealt damage, or becomes tapped. Activate only as a sorcery.",2,{2},Artifact,
110,Instill Energy,"Enchant creature
Enchanted creature can attack as though it had haste.
{0}: Untap enchanted creature. Activate only during your turn and only once each turn.",1,{G},Enchantment - Aura,
111,Invisibility,"Enchant creature
Enchanted creature can't be blocked except by Walls.",2,{U}{U},Enchantment - Aura,
112,Ironclaw Orcs,Ironclaw Orcs can't block creatures with power 2 or greater.,2,{1}{R},Creature - Orc,
113,Ironroot Treefolk,,5,{4}{G},Creature - Treefolk,
114,Iron Star,"Whenever a player casts a red spell, you may pay {1}. If you do, you gain 1 life.",1,{1},Artifact,
115,Island,({T}: Add {U}.),0,,Basic Land - Island,
116,Island Sanctuary,"If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk.",2,{1}{W},Enchantment,
117,Ivory Cup,"Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.",1,{1},Artifact,
118,Jade Monolith,"{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.",4,{4},Artifact,
119,Jade Statue,{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate only during combat.,4,{4},Artifact,
120,Jayemdae Tome,"{4}, {T}: Draw a card.",4,{4},Artifact,
121,Juggernaut,"Juggernaut attacks each combat if able.
Juggernaut can't be blocked by Walls.",4,{4},Artifact Creature - Juggernaut,
122,Jump,Target creature gains flying until end of turn.,1,{U},Instant,
123,Karma,"At the beginning of each player's upkeep, Karma deals damage to that player equal to the number of Swamps they control.",4,{2}{W}{W},Enchantment,
124,Keldon Warlord,Keldon Warlord's power and toughness are each equal to the number of non-Wall creatures you control.,4,{2}{R}{R},Creature - Human Barbarian,
125,Kormus Bell,All Swamps are 1/1 black creatures that are still lands.,4,{4},Artifact,
126,Kudzu,"Enchant land
When enchanted land becomes tapped, destroy it. That land's controller may attach Kudzu to a land of their choice.",3,{1}{G}{G},Enchantment - Aura,
127,Lance,"Enchant creature
Enchanted creature has first strike.",1,{W},Enchantment - Aura,
128,Ley Druid,{T}: Untap target land.,3,{2}{G},Creature - Human Druid,
129,Library of Leng,"You have no maximum hand size.
If an effect causes you to discard a card, discard it, but you may put it on top of your library instead of into your graveyard.",1,{1},Artifact,
130,Lich,"As Lich enters the battlefield, you lose life equal to your life total.
You don't lose the game for having 0 or less life.
If you would gain life, draw that many cards instead.
Whenever you're dealt damage, sacrifice that many nontoken permanents. If you can't, you lose the game.
When Lich is put into a graveyard from the battlefield, you lose the game.",4,{B}{B}{B}{B},Enchantment,
131,Lifeforce,{G}{G}: Counter target black spell.,2,{G}{G},Enchantment,
132,Lifelace,Target spell or permanent becomes green. (Mana symbols on that permanent remain unchanged.),1,{G},Instant,
133,Lifetap,"Whenever a Forest an opponent controls becomes tapped, you gain 1 life.",2,{U}{U},Enchantment,
134,Lightning Bolt,Lightning Bolt deals 3 damage to any target.,1,{R},Instant,
135,Living Artifact,"Enchant artifact
Whenever you're dealt damage, put that many vitality counters on Living Artifact.
At the beginning of your upkeep, you may remove a vitality counter from Living Artifact. If you do, you gain 1 life.",1,{G},Enchantment - Aura,
136,Living Lands,All Forests are 1/1 creatures that are still lands.,4,{3}{G},Enchantment,
137,Living Wall,"Defender (This creature can't attack.)
{1}: Regenerate Living Wall.",4,{4},Artifact Creature - Wall,
138,Llanowar Elves,{T}: Add {G}.,1,{G},Creature - Elf Druid,
139,Lord of Atlantis,Other Merfolk get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.),2,{U}{U},Creature - Merfolk,
140,Lord of the Pit,"Flying, trample
At the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you.",7,{4}{B}{B}{B},Creature - Demon,
141,Lure,"Enchant creature
All creatures able to block enchanted creature do so.",3,{1}{G}{G},Enchantment - Aura,
142,Magical Hack,"Change the text of target spell or permanent by replacing all instances of one basic land type with another. (For example, you may change ""swampwalk"" to ""plainswalk."" This effect lasts indefinitely.)",1,{U},Instant,
143,Mahamoti Djinn,Flying (This creature can't be blocked except by creatures with flying or reach.),6,{4}{U}{U},Creature - Djinn,
144,Manabarbs,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player.",4,{3}{R},Enchantment,
145,Mana Flare,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced.",3,{2}{R},Enchantment,
146,Mana Short,Tap all lands target player controls and that player loses all unspent mana.,3,{2}{U},Instant,
147,Mana Vault,"Mana Vault doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.
At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.
{T}: Add {C}{C}{C}.",1,{1},Artifact,
148,Meekstone,Creatures with power 3 or greater don't untap during their controllers' untap steps.,1,{1},Artifact,
149,Merfolk of the Pearl Trident,,1,{U},Creature - Merfolk,
150,Mesa Pegasus,"Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",2,{1}{W},Creature - Pegasus,
151,Mind Twist,Target player discards X cards at random.,1,{X}{B},Sorcery,
152,Mons's Goblin Raiders,,1,{R},Creature - Goblin,
153,Mountain,({T}: Add {R}.),0,,Basic Land - Mountain,
154,Natural Selection,"Look at the top three cards of target player's library, then put them back in any order. You may have that player shuffle.",1,{G},Instant,
155,Nether Shadow,"Haste
At the beginning of your upkeep, if Nether Shadow is in your graveyard with three or more creature cards above it, you may put Nether Shadow onto the battlefield.",2,{B}{B},Creature - Spirit,
156,Nettling Imp,"{T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. Destroy it at the beginning of the next end step if it didn't attack this turn. Activate only during an opponent's turn, before attackers are declared.",3,{2}{B},Creature - Imp,
157,Nevinyrral's Disk,"Nevinyrral's Disk enters the battlefield tapped.
{1}, {T}: Destroy all artifacts, creatures, and enchantments.",4,{4},Artifact,
158,Nightmare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Nightmare's power and toughness are each equal to the number of Swamps you control.",6,{5}{B},Creature - Nightmare Horse,
159,Northern Paladin,"{W}{W}, {T}: Destroy target black permanent.",4,{2}{W}{W},Creature - Human Knight,
160,Obsianus Golem,,6,{6},Artifact Creature - Golem,
161,Orcish Artillery,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.,3,{1}{R}{R},Creature - Orc Warrior,
162,Orcish Oriflamme,Attacking creatures you control get +1/+0.,4,{3}{R},Enchantment,
163,Paralyze,"Enchant creature
When Paralyze enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.
At the beginning of the upkeep of enchanted creature's controller, that player may pay {4}. If the player does, untap the creature.",1,{B},Enchantment - Aura,
164,Pearled Unicorn,,3,{2}{W},Creature - Unicorn,
165,Personal Incarnation,"{0}: The next 1 damage that would be dealt to Personal Incarnation this turn is dealt to its owner instead. Only Personal Incarnation's owner may activate this ability.
When Personal Incarnation dies, its owner loses half their life, rounded up.",6,{3}{W}{W}{W},Creature - Avatar Incarnation,
166,Pestilence,"At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.
{B}: Pestilence deals 1 damage to each creature and each player.",4,{2}{B}{B},Enchantment,
167,Phantasmal Forces,"Flying
At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.",4,{3}{U},Creature - Illusion,
168,Phantasmal Terrain,"Enchant land
As Phantasmal Terrain enters the battlefield, choose a basic land type.
Enchanted land is the chosen type.",2,{U}{U},Enchantment - Aura,
169,Phantom Monster,Flying,4,{3}{U},Creature - Illusion,
170,Pirate Ship,"Pirate Ship can't attack unless defending player controls an Island.
{T}: Pirate Ship deals 1 damage to any target.
When you control no Islands, sacrifice Pirate Ship.",5,{4}{U},Creature - Human Pirate,
171,Plague Rats,Plague Rats's power and toughness are each equal to the number of creatures named Plague Rats on the battlefield.,3,{2}{B},Creature - Rat,
172,Plains,({T}: Add {W}.),0,,Basic Land - Plains,
173,Plateau,({T}: Add {R} or {W}.),0,,Land - Mountain Plains,
174,Power Leak,"Enchant enchantment
At the beginning of the upkeep of enchanted enchantment's controller, that player may pay any amount of mana. Power Leak deals 2 damage to that player. Prevent X of that damage, where X is the amount of mana that player paid this way.",2,{1}{U},Enchantment - Aura,
203,Circle of Protection: Black,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.",2,{1}{W},Enchantment,
525,Abu Ja'far,"When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.",1,{W},Creature - Human,
526,Aladdin,"{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.",4,{2}{R}{R},Creature - Human Rogue,
527,Aladdin's Lamp,"{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0.",10,{10},Artifact,
528,Aladdin's Ring,"{8}, {T}: Aladdin's Ring deals 4 damage to any target.",8,{8},Artifact,
529,Ali Baba,{R}: Tap target Wall.,1,{R},Creature - Human Rogue,
530,Ali from Cairo,Damage that would reduce your life total to less than 1 reduces it to 1 instead.,4,{2}{R}{R},Creature - Human,
531,Army of Allah,Attacking creatures get +2/+0 until end of turn.,3,{1}{W}{W},Instant,
532,Bazaar of Baghdad,"{T}: Draw two cards, then discard three cards.",0,,Land,
533,Bird Maiden,Flying,3,{2}{R},Creature - Human Bird,
534,Bottle of Suleiman,"{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you win the flip, create a 5/5 colorless Djinn artifact creature token with flying. If you lose the flip, Bottle of Suleiman deals 5 damage to you.",4,{4},Artifact,
535,Brass Man,"Brass Man doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.",1,{1},Artifact Creature - Construct,
536,Camel,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
As long as Camel is attacking, prevent all damage Deserts would deal to Camel and to creatures banded with Camel.",1,{W},Creature - Camel,
537,City in a Bottle,"Whenever one or more other nontoken permanents with a name originally printed in the Arabian Nights expansion are on the battlefield, their controllers sacrifice them.
Players can't cast spells or play lands with a name originally printed in the Arabian Nights expansion.",2,{2},Artifact,
538,City of Brass,"Whenever City of Brass becomes tapped, it deals 1 damage to you.
{T}: Add one mana of any color.",0,,Land,
539,Cuombajj Witches,{T}: Cuombajj Witches deals 1 damage to any target and 1 damage to any target of an opponent's choice.,2,{B}{B},Creature - Human Wizard,
540,Cyclone,"At the beginning of your upkeep, put a wind counter on Cyclone, then sacrifice Cyclone unless you pay {G} for each wind counter on it. If you pay, Cyclone deals damage equal to the number of wind counters on it to each creature and each player.",4,{2}{G}{G},Enchantment,
541,Dancing Scimitar,Flying (This creature can't be blocked except by creatures with flying or reach.),4,{4},Artifact Creature - Spirit,
542,Dandân,"Dandân can't attack unless defending player controls an Island.
When you control no Islands, sacrifice Dandân.",2,{U}{U},Creature - Fish,
543,Desert,"{T}: Add {C}.
{T}: Desert deals 1 damage to target attacking creature. Activate only during the end of combat step.",0,,Land - Desert,
544,Desert Nomads,"Desertwalk
Prevent all damage that would be dealt to Desert Nomads by Deserts.",3,{2}{R},Creature - Human Nomad,
545,Desert Twister,Destroy target permanent.,6,{4}{G}{G},Sorcery,
546,Diamond Valley,"{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.",0,,Land,
547,Drop of Honey,"At the beginning of your upkeep, destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them.
When there are no creatures on the battlefield, sacrifice Drop of Honey.",1,{G},Enchantment,
548,Ebony Horse,"{2}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by that creature this turn.",3,{3},Artifact,
549,Elephant Graveyard,"{T}: Add {C}.
{T}: Regenerate target Elephant.",0,,Land,
550,El-Hajjâj,"Whenever El-Hajjâj deals damage, you gain that much life.",3,{1}{B}{B},Creature - Human Wizard,
551,Erg Raiders,"At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn.",2,{1}{B},Creature - Human Warrior,
552,Erhnam Djinn,"At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep. (It can't be blocked as long as defending player controls a Forest.)",4,{3}{G},Creature - Djinn,
553,Eye for an Eye,"The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.",2,{W}{W},Instant,
554,Fishliver Oil,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has islandwalk. (It can't be blocked as long as defending player controls an Island.)",2,{1}{U},Enchantment - Aura,
555,Flying Carpet,"{2}, {T}: Target creature gains flying until end of turn.",4,{4},Artifact,
556,Flying Men,Flying,1,{U},Creature - Human,
557,Ghazbán Ogre,"At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of Ghazbán Ogre.",1,{G},Creature - Ogre,
558,Giant Tortoise,Giant Tortoise gets +0/+3 as long as it's untapped.,2,{1}{U},Creature - Turtle,
