,Card,Tags
52,Disciple of Grace,"['activate from hand', 'creature type erratum', 'draw', 'evasion', 'french vanilla', 'hate-black', 'card advantage', 'flavors of vanilla', 'hate-color']"
53,Faith Healer,"['creature type erratum', 'free sacrifice outlet', 'lifegain', 'mana value matters', 'sacrifice outlet-enchantment', 'synergy-enchantment', 'sacrifice outlet']"
54,Opal Gargoyle,"['cast trigger-other', 'gains flying', 'intervening if clause', 'sleeping enchantment', 'untracked indefinite effect', 'animate', 'animate self', 'cast trigger', 'evasion', 'indefinite effect', 'type change']"
55,Peregrine Drake,"['evasion', 'refund', 'untapper-land', 'virtual french vanilla', 'flavors of vanilla', 'untapper']"
56,Rune of Protection: Artifacts,-- FAILED --
57,Rune of Protection: Black,"['activate from hand', 'cycle-rune-protection', 'damage prevention-you', 'draw', 'hate-red', 'card advantage', 'circle of protection', 'cycle', 'damage prevention', 'hate-color']"
58,Rune of Protection: Blue,"['activate from hand', 'cycle-rune-protection', 'damage prevention-you', 'draw', 'hate-red', 'card advantage', 'circle of protection', 'cycle', 'damage prevention', 'hate-color']"
59,Rune of Protection: Green,"['activate from hand', 'cycle-rune-protection', 'damage prevention-you', 'draw', 'hate-red', 'card advantage', 'circle of protection', 'cycle', 'damage prevention', 'hate-color']"
60,Rune of Protection: Lands,"['activate from hand', 'cycle-rune-protection', 'damage prevention-you', 'draw', 'hate-red', 'card advantage', 'circle of protection', 'cycle', 'damage prevention', 'hate-color']"
61,Rune of Protection: Red,"['activate from hand', 'cycle-rune-protection', 'damage prevention-you', 'draw', 'hate-red', 'card advantage', 'circle of protection', 'cycle', 'damage prevention', 'hate-color']"
62,Rune of Protection: White,-- FAILED --
63,About Face,['notags']
64,Giant Cockroach,['notags']
65,Snap,"['activate from hand', 'alternate win condition', 'card game reference', 'draw', 'card advantage']"
66,Forest Bear,['notags']
67,"Kongming, ""Sleeping Dragon""",-- FAILED --
68,"Pang Tong, ""Young Phoenix""",-- FAILED --
69,Southern Elephant,['notags']
70,Trained Jackal,['notags']
71,Hulking Ogre,['notags']
72,Silverback Ape,['notags']
73,Boa Constrictor,['notags']
74,Game Preserve,['notags']
75,Tectonic Break,"['sacrifice outlet-land', 'sweeper-land-sacrifice', 'sacrifice outlet', 'sweeper', 'sweeper-land']"
76,Wild Jhovall,['notags']
77,Scoria Cat,['notags']
78,Spur Grappler,['notags']
79,Ordered Migration,['notags']
80,Skittish Kavu,['notags']
81,Wayfaring Giant,['notags']
82,Planar Overlay,"['removal-land-bounce', 'rescue-land', 'symmetrical', 'bounce', 'removal', 'removal-land', 'rescue']"
83,Gorilla Titan,['notags']
84,Nantuko Disciple,['notags']
85,Charging Slateback,['notags']
86,Enormous Baloth,['notags']
87,Astral Steel,['notags']
88,Hunting Pack,['notags']
89,Alpha Myr,['notags']
90,Lumengrid Warden,['notags']
91,Omega Myr,['notags']
92,Raise the Alarm,['notags']
93,Vulshok Gauntlets,['notags']
94,Dross Crocodile,['notags']
95,Goblin Brawler,['notags']
96,Myr Quadropod,['notags']
97,Kami of Old Stone,['notags']
98,Order of the Sacred Bell,['notags']
99,River Kaijin,['notags']
100,Wandering Ones,['notags']
101,Akki Raider,['notags']
102,Frost Ogre,['notags']
103,Gnarled Mass,['notags']
104,"Mannichi, the Fevered Dream",['notags']
105,Tendo Ice Bridge,['notags']
106,Veteran Armorer,['notags']
107,Ghost Warden,['notags']
108,Streetbreaker Wurm,['notags']
109,Krovikan Scoundrel,['notags']
110,Martyr of Spores,"['cycle-csp-martyr', 'martyr', 'synergy-green', 'cycle', 'sacrifice self']"
111,Empty the Warrens,['notags']
112,Living End,"['cycle-tsp-no-mana-cost-suspend', 'intervening if clause', 'reanimate-creature', 'spell with no casting cost', 'sweeper-creature-sacrifice', 'symmetrical', 'cycle', 'reanimate', 'recursion', 'recursion-creature', 'sweeper', 'sweeper-creature']"
113,Merfolk Thaumaturgist,['notags']
114,Saltfield Recluse,['notags']
115,Axegrinder Giant,['notags']
116,Indomitable Ancients,['notags']
117,Gloomwidow,['notags']
118,Merrow Grimeblotter,['notags']
119,Old Ghastbark,['notags']
120,Torpor Dust,['notags']
121,Cylian Elf,['notags']
122,Dragon Fodder,['notags']
123,Dreg Reaver,['notags']
124,Incurable Ogre,['notags']
125,Jhessian Lookout,['notags']
126,Canyon Minotaur,['notags']
127,Exotic Orchard,['notags']
128,Fusion Elemental,['notags']
129,Matca Rioters,['notags']
130,Parasitic Strix,"['cycle-con-forward-synergy', 'drain life', 'evasion', 'opponent loses life', 'synergy-black', 'virtual french vanilla', 'cycle', 'flavors of vanilla', 'inverted effects', 'lifegain']"
131,Scattershot Archer,"['hate-flying', 'hurricane', 'sweeper-creature-burn', 'sweeper', 'sweeper-creature']"
132,Spore Burst,['notags']
133,Valiant Guard,['notags']
134,Glory of Warfare,['notags']
135,Grizzled Leotau,['notags']
136,Elite Vanguard,['notags']
137,Oakenform,['notags']
138,Runeclaw Bear,['notags']
139,Siege Mastodon,['notags']
140,Silvercoat Lion,['notags']
141,Warpath Ghoul,['notags']
142,Zombie Goliath,['notags']
143,Cobra Trap,['notags']
144,Kraken Hatchling,['notags']
145,Pillarfield Ox,['notags']
146,Shatterskull Giant,['notags']
147,Vastwood Gorger,['notags']
148,Death's Shadow,['notags']
149,Dread Statuary,"['creatureland', 'animate', 'animate self', 'type change', 'utility land']"
150,Explore,['notags']
151,Goblin Roughrider,['notags']
152,Leatherback Baloth,['notags']
153,Ruthless Cullblade,['notags']
154,Jwari Scuttler,['notags']
155,Nema Siltlurker,['notags']
156,Armored Cancrix,['notags']
157,Barony Vampire,['notags']
158,Blood Tithe,"['drain life', 'opponent loses life', 'inverted effects', 'lifegain']"
159,Maritime Guard,['notags']
160,Nether Horror,['notags']
161,Stone Golem,['notags']
162,Memnite,['notags']
163,Razorfield Thresher,['notags']
164,Hexplate Golem,['notags']
165,Master's Call,['notags']
166,Ogre Resister,['notags']
167,Amphin Cutthroat,['notags']
168,Armored Warhorse,['notags']
169,Bonebreaker Giant,['notags']
170,Rusted Sentinel,['notags']
171,Darkthicket Wolf,['notags']
172,Fortress Crab,['notags']
173,Hysterical Blindness,['notags']
174,Kindercatch,['notags']
175,Riot Devils,['notags']
176,Rotting Fensnake,['notags']
177,Scourge of Geier Reach,['notags']
178,Walking Corpse,['notags']
179,Chant of the Skifsang,['notags']
180,Gather the Townsfolk,['notags']
181,Hollowhenge Beast,['notags']
182,Russet Wolves,['notags']
183,Sanctuary Cat,['notags']
184,Nettle Swine,['notags']
185,Raging Poltergeist,['notags']
186,Renegade Demon,['notags']
187,Vorstclaw,['notags']
188,Wildwood Geist,['notags']
189,Show of Valor,['notags']
190,Aquus Steed,['notags']
191,Axebane Stag,['notags']
192,Catacomb Slug,['notags']
193,Cobblebrute,['notags']
194,Goblin Rally,['notags']
195,Slime Molding,['notags']
196,Gutter Skulk,['notags']
197,Ruination Wurm,['notags']
198,Wight of Precinct Six,['notags']
199,Advent of the Wurm,['notags']
200,Armored Wolf-Rider,['notags']
201,Hive Stirrings,['notags']
202,Kalonian Tusker,['notags']
203,Minotaur Abomination,['notags']
204,Regathan Firecat,['notags']
205,Rumbling Baloth,['notags']
206,Undead Minotaur,['notags']
207,Borderland Minotaur,['notags']
208,Felhide Minotaur,['notags']
209,Pheres-Band Centaurs,['notags']
210,Silent Artisan,['notags']
211,Traveling Philosopher,['notags']
212,Triton Shorethief,['notags']
213,Yoked Ox,['notags']
214,Cyclops of One-Eyed Pass,['notags']
215,Great Hart,['notags']
216,Swordwise Centaur,['notags']
217,Flurry of Horns,['notags']
218,Oreskos Swiftclaw,['notags']
219,Revel of the Fallen God,['notags']
220,Rotted Hulk,['notags']
221,Witch's Familiar,['notags']
222,Alpine Grizzly,['notags']
223,Hordeling Outburst,['notags']
224,Siegecraft,['notags']
225,Summit Prowler,['notags']
226,Take Up Arms,['notags']
227,Tusked Colossodon,['notags']
228,Wetland Sambar,['notags']
229,Feral Krushok,['notags']
230,Gore Swine,['notags']
231,Great-Horn Krushok,['notags']
232,Aerie Bowmasters,"['creature type erratum', 'french vanilla', 'gains pp counters', 'flavors of vanilla']"
233,Ancient Carp,['notags']
234,Colossodon Yearling,['notags']
235,Conifer Strider,"['french vanilla', 'flavors of vanilla']"
236,Contradict,"['cantrip', 'counterspell', 'single english word name', 'blue effect', 'card advantage', 'card names', 'draw']"
237,Corpseweft,"['graveyard fuel-creature', 'mana sink', 'repeatable token generator', 'unique token', 'graveyard fuel']"
238,Crater Elemental,"['bombard-self', 'burn with set mechanic', 'formidable', 'martyr', 'removal-creature-burn', 'shapechange', 'bombard', 'burn', 'power matters', 'removal', 'removal-creature', 'sacrifice outlet', 'sacrifice self']"
239,Cunning Breezedancer,"['cast trigger-you', 'cycle-dtk-draft-signpost', 'cycle-dtk-u-allied-dragon', 'evasion', 'synergy-noncreature', 'cast trigger', 'cycle', 'draft signpost']"
240,Secure the Wastes,['notags']
241,Chandra's Ignition,"['burn player', 'cycle-ori-pivotal-moment', 'namesake-spell', 'one-sided fight', 'sweeper-creature-burn', 'burn', 'card names', 'cycle', 'power matters', 'removal', 'removal-creature', 'removal-creature-burn', 'sweeper', 'sweeper-creature']"
242,Clash of Wills,"['counterspell-soft', 'cycle-ori-pivotal-moment', 'blue effect', 'counterspell', 'cycle']"
243,Whirler Rogue,"['evasion', 'gives unblockable', 'synergy-artifact', 'tap fuel-artifact', 'gives-evasion']"
244,Broodhunter Wurm,['notags']
245,Dampening Pulse,['notags']
246,Grovetender Druids,"['creaturefall', 'cycle-bfz-draft-signpost', 'noncreature tribal', 'repeatable token generator', 'tribal-ally', 'cycle', 'draft signpost', 'typal', 'typal-creature']"
247,Gruesome Slaughter,"['one-sided fight', 'synergy-colorless', 'burn', 'power matters', 'removal', 'removal-creature', 'removal-creature-burn']"
248,Guardian of Tazeem,"['cycle-bfz-color-landfall', 'evasion', 'freeze-creature', 'islandfall', 'synergy-island', 'tapper-creature', 'cycle', 'freeze', 'landfall', 'lands matter', 'tapper']"
249,Guul Draz Overseer,"['cycle-bfz-color-landfall', 'evasion', 'power boost to all', 'swampfall', 'synergy-swamp', 'cycle', 'landfall', 'lands matter']"
250,Hagra Sharpshooter,"['mana sink', 'removal-creature-toughness', 'unique type line', 'removal', 'removal-creature']"
251,Lavastep Raider,['notags']
252,Allied Reinforcements,['notags']
253,Ancient Crab,['notags']
254,Canopy Gorger,['notags']
255,Convicted Killer // Branded Howler,['notags']
256,Devilthorn Fox,['notags']
257,Hinterland Logger // Timber Shredder,['notags']
258,Hulking Devil,['notags']
259,Second Harvest,"['copy-aura', 'copy-creature', 'copy-equipment', 'copy-land', 'copy-planeswalker', 'copy-token', 'synergy-token', 'token doubler', 'copy', 'token increaser']"
260,Senseless Rage,['notags']
261,Solitary Hunter // One of the Pack,['notags']
262,Thornhide Wolves,['notags']
263,Bold Impaler,['notags']
264,"Emrakul, the Promised End","['card types in graveyard matter', 'eldrazi titan', 'evasion', 'extra turn', 'hate-instant', 'theft', 'turn control', 'unique mana cost', 'cards in graveyard matter', 'control changing effects']"
265,Falkenrath Reaver,['notags']
266,Field Creeper,['notags']
267,Graf Rats,['notags']
268,Wolfkin Bond,['notags']
269,Cowl Prowler,['notags']
270,Curio Vendor,['notags']
271,Inventors' Fair,"['lifegain', 'metalcraft', 'sacrifice self', 'tutor-artifact', 'tutor-to-hand', 'utility land', 'synergy-artifact', 'tutor', 'tutor-to']"
272,Prakhata Club Security,['notags']
273,Servo Exhibition,['notags']
274,Tasseled Dromedary,['notags']
275,Terrain Elemental,['notags']
276,Territorial Gorger,['notags']
277,Terror of the Fairgrounds,['notags']
278,Bastion Enforcer,['notags']
279,Lathnu Sailback,['notags']
280,Peacewalker Colossus,"['animate self', 'animate vehicle', 'offcolor ability', 'synergy-vehicle', 'tap fuel-creature', 'animate', 'type change']"
281,Prizefighter Construct,['notags']
282,Colossapede,['notags']
283,Dune Beetle,['notags']
284,Hyena Pack,['notags']
285,Those Who Serve,['notags']
286,Champion of Wits,"['activate from graveyard', 'creature type erratum', 'cycle-hou-power-eternalizer', 'draw', 'loot', 'out of color token', 'power matters-self', 'virtual vanilla', 'blue effect', 'card advantage', 'cycle', 'discard outlet', 'flavors of vanilla', 'power matters']"
287,Crash Through,"['cantrip', 'gives trample', 'card advantage', 'draw']"
288,Crested Sunmare,"['gives indestructible', 'lifegain matters', 'noncreature tribal', 'protects-creature', 'repeatable token generator', 'tribal-horse', 'unique token', 'protects-permanent', 'typal', 'typal-creature']"
289,Cunning Survivor,"['discard matters', 'synergy-cycling', 'unblockable', 'evasion']"
290,Dauntless Aven,"['attack trigger', 'evasion', 'synergy-attacker-self', 'untapper-creature', 'untapper']"
291,Defiant Khenra,['notags']
292,Desert's Hold,"['lifegain', 'pacifism', 'prevent activation', 'prevent attack', 'prevent blocker', 'synergy-desert', 'removal']"
293,Dreamstealer,"['activate from graveyard', 'cycle-hou-power-eternalizer', 'discard', 'evasion', 'saboteur', 'cycle']"
294,Dutiful Servants,['notags']
295,Fraying Sanity,"['mill-any', 'requires notation', 'mill']"
296,Frilled Sandwalla,['notags']
297,Hashep Oasis,"['boost-power', 'boost-toughness', 'cycle-hou-desert-painland', 'painland', 'sacrifice outlet-land', 'sacrifice self', 'synergy-desert', 'utility land', 'cycle', 'cycle-land', 'cycle-mono-land', 'life payment', 'sacrifice outlet']"
298,Hollow One,"['activate from hand', 'discard matters', 'draw', 'potentially free', 'requires notation', 'synergy-cycling', 'alternate-nonmana-cost', 'card advantage']"
299,Striped Riverwinder,"['activate from hand', 'draw', 'french vanilla', 'card advantage', 'flavors of vanilla']"
300,Struggle // Survive,"['alliteration', 'burn with set mechanic', 'cast-from-graveyard', 'cycle-hou-allied-aftermath', 'lands matter', 'punny name', 'removal-creature-burn', 'restock', 'sweeper-graveyard', 'burn', 'card names', 'cycle', 'hate-graveyard', 'recursion', 'removal', 'removal-creature']"
301,Sunscourge Champion,"['activate from graveyard', 'cycle-hou-power-eternalizer', 'discard outlet', 'lifegain', 'out of color token', 'power matters-self', 'virtual vanilla', 'cycle', 'flavors of vanilla', 'power matters']"
302,Sunset Pyramid,"['repeatable draw', 'tome', 'top deck manipulation', 'card advantage', 'draw', 'library manipulation']"
303,Supreme Will,"['counterspell-soft', 'cycle-hou-modal-spell', 'impulse', 'modal', 'blue effect', 'card advantage', 'counterspell', 'cycle']"
304,Survivors' Encampment,['tap fuel-creature']
305,Swarm Intelligence,"['cast trigger-you', 'copy-instant', 'copy-sorcery', 'synergy-instant', 'synergy-sorcery', 'cast trigger', 'copy']"
306,Tenacious Hunter,"['gains deathtouch', 'gains vigilance', 'mm counters matter', 'counters matter']"
307,The Locust God,"['cycle-hou-god', 'death trigger-self', 'delayed triggered ability', 'draw matters', 'evasion', 'loot', 'mana sink', 'regrowth-self', 'repeatable token generator', 'unique token', 'blue effect', 'card advantage', 'cycle', 'death trigger', 'discard outlet', 'leaves battlefield trigger', 'recursion', 'regrowth']"
308,The Scarab God,"['copy-creature', 'cycle-hou-god', 'death trigger-self', 'delayed triggered ability', 'eternalize', 'graveyard fuel-creature', 'hate-graveyard', 'mana sink', 'noncreature tribal', 'opponent loses life', 'regrowth-self', 'removal-creature', 'repeatable token generator', 'top deck manipulation', 'tribal-zombie', 'card advantage', 'copy', 'cycle', 'death trigger', 'graveyard fuel', 'leaves battlefield trigger', 'library manipulation', 'recursion', 'regrowth', 'removal', 'typal', 'typal-creature']"
309,The Scorpion God,"['cycle-hou-god', 'death trigger-self', 'delayed triggered ability', 'gives mm counters', 'mm counters matter', 'regrowth-self', 'card advantage', 'counters matter', 'cycle', 'death trigger', 'leaves battlefield trigger', 'recursion', 'regrowth']"
310,Thorned Moloch,"['cast trigger-you', 'gains first strike', 'synergy-attacker-self', 'synergy-noncreature', 'cast trigger']"
311,Torment of Hailfire,"['cycle-hou-torment', 'discard', 'multiplayer', 'opponent loses life', 'punisher', 'removal-nonland-sacrifice', 'cycle', 'dilemma', 'removal', 'removal-artifact', 'removal-creature', 'removal-enchantment', 'removal-nonland', 'removal-planeswalker']"
312,Torment of Scarabs,"['cycle-hou-torment', 'discard', 'opponent loses life', 'opponent sacrifices', 'punisher', 'removal-nonland-sacrifice', 'cycle', 'dilemma', 'removal', 'removal-artifact', 'removal-creature', 'removal-enchantment', 'removal-nonland', 'removal-planeswalker']"
313,Torment of Venom,"['cycle-hou-torment', 'discard', 'gives mm counters', 'opponent loses life', 'punisher', 'removal-creature-toughness', 'removal-nonland-sacrifice', 'cycle', 'dilemma', 'removal', 'removal-artifact', 'removal-creature', 'removal-enchantment', 'removal-nonland', 'removal-planeswalker']"
314,Tragic Lesson,"['catalog', 'draw', 'loot', 'rescue-land', 'blue effect', 'bounce', 'card advantage', 'discard outlet', 'rescue']"
315,Uncage the Menagerie,"['inscryption achievement', 'tutor-cmc', 'tutor-creature', 'tutor-to-hand', 'tutor', 'tutor-to']"
316,Unconventional Tactics,"['creaturefall', 'enlarge', 'gives flying', 'jump', 'noncreature tribal', 'regrowth-self', 'tribal-zombie', 'trigger from graveyard', 'card advantage', 'evasion', 'gives-evasion', 'recursion', 'regrowth', 'typal', 'typal-creature']"
317,"Unesh, Criosphinx Sovereign","['cost reducer', 'evasion', 'fact or fiction', 'noncreature tribal', 'ramp', 'tribal-sphinx', 'dilemma', 'divvy', 'typal', 'typal-creature']"
318,Wasp of the Bitter End,"['cast trigger-you', 'evasion', 'pwdeck-sidekick', 'removal-creature-destroy', 'sacrifice self', 'synergy-pw-bolas', 'cast trigger', 'planeswalker deck staples', 'removal', 'removal-creature']"
319,"Kess, Dissident Mage","['alt-commander', 'cycle-c17-alt-commander', 'evasion', 'grants flashback', 'synergy-instant', 'synergy-sorcery']"
320,Ancient Brontodon,['notags']
321,Frenzied Raptor,['notags']
322,Gilded Sentinel,['notags']
323,Headwater Sentries,['notags']
324,Looming Altisaur,['notags']
325,Queen's Bay Soldier,['notags']
326,Raptor Companion,['notags']
327,Canal Monitor,['notags']
328,Dusk Charger,['notags']
329,Orazca Frillback,['notags']
330,Orazca Raptor,['notags']
331,Spire Winder,['evasion']
332,Sun-Collared Raptor,['notags']
333,Swab Goblin,['notags']
334,Cabal Evangel,['notags']
335,Knight of New Benalia,['notags']
336,Primordial Wurm,['notags']
337,Saproling Migration,['notags']
338,Tolarian Scholar,['notags']
339,Armored Whirl Turtle,['notags']
340,Ferocious Zheng,['notags']
341,Hardened-Scale Armor,['notags']
342,Leopard-Spotted Jiao,['notags']
343,Aegis of the Heavens,['notags']
344,Bogstomper,['notags']
345,Gigantosaurus,['notags']
346,Knight's Pledge,['notags']
347,Douser of Lights,['notags']
348,Fearless Halberdier,['notags']
349,Wild Ceratok,['notags']
350,Wishcoin Crab,['notags']
351,Axebane Beast,['notags']
352,Feral Maaka,['notags']
353,Prowling Caracal,['notags']
354,Slimebind,['notags']
355,Tin Street Dodger,['notags']
356,Goblin Assailant,['notags']
357,Ironclad Krovod,['notags']
358,Recruit the Worthy,['notags']
359,Trumpeting Herd,['delayed triggered ability']
360,Colossus Hammer,['drawback']
361,Dark Remedy,['notags']
362,Imperial Outrider,['notags']
363,Eidolon of Inspiration,['notags']
364,Phalanx Tactics,['notags']
365,Flawless Maneuver,"['cycle-c20-pitch-spell', 'gives indestructible', 'protects-creature', 'synergy-commander', 'alternate-nonmana-cost', 'cycle', 'potentially free', 'protects-permanent']"
366,Aegis Turtle,['notags']
367,Basri Ket,"['attack trigger', 'cycle-m21-basri-vertical', 'cycle-m21-planeswalker', 'eponymous planeswalker', 'gives indestructible', 'gives pp counters', 'power boost to all', 'protects-creature', 'repeatable token generator', 'synergy-attacker', 'cycle', 'protects-permanent']"
368,Release the Dogs,['notags']
369,Highborn Vampire,['notags']
370,Murasa Brute,['notags']
371,Windrider Wizard,"['alliteration', 'cast trigger-you', 'evasion', 'loot', 'noncreature tribal', 'synergy-instant', 'synergy-sorcery', 'tribal-wizard', 'blue effect', 'card advantage', 'card names', 'cast trigger', 'discard outlet', 'typal', 'typal-creature']"
372,Clarion Spirit,"['cast trigger-you', 'repeatable token generator', 'second spell matters', 'cast trigger']"
373,Cleaving Reaper,"['activate from graveyard', 'evasion', 'life payment', 'noncreature tribal', 'regrowth-self', 'tribal coupling', 'tribal-angel', 'tribal-berserker', 'card advantage', 'recursion', 'regrowth', 'typal', 'typal-creature']"
374,Codespell Cleric,"['alliteration', 'gives pp counters', 'second spell matters', 'virtual french vanilla', 'card names', 'flavors of vanilla']"
375,Colossal Plow,"['animate self', 'attack trigger', 'lifegain', 'ramp', 'synergy-attacker-self', 'tap fuel-creature', 'animate', 'type change']"
376,"Cosima, God of the Voyage // The Omenkeel","['animate self', 'flicker-self', 'flicker-slow', 'gains pp counters', 'landfall', 'mill-exile', 'repeatable draw', 'saboteur', 'synergy-vehicle', 'tap fuel-creature', 'theft-land', 'trigger from exile', 'unique counter', 'animate', 'card advantage', 'control changing effects', 'draw', 'flicker', 'lands matter', 'mill', 'theft', 'type change']"
377,Dwarven Reinforcements,['notags']
378,"Sigrid, God-Favored","['banish-creature', 'hate-attacker', 'hate-blocker', 'hate-set-mechanic', 'hate-tribal-god', 'haven', 'synergy-attacker', 'synergy-blocker', 'banish', 'hate-tribal', 'removal', 'removal-creature', 'removal-creature-exile']"
379,Skemfar Elderhall,"['cycle-khm-realm', 'removal-creature-toughness', 'sacrifice self', 'utility land', 'cycle', 'removal', 'removal-creature', 'tapland']"
380,Skull Raid,"['discard with set mechanic', 'draw', 'hand size hate', 'card advantage', 'discard', 'hand size matters']"
381,Snakeskin Veil,"['giant growth', 'gives hexproof', 'protects-creature', 'combat trick', 'enlarge', 'protects-permanent']"
382,Vengeful Reaper,"['evasion', 'french vanilla', 'flavors of vanilla']"
383,Inkshield,"['aikido', 'damage prevention', 'damage prevention-you', 'fog-selective', 'fog']"
384,Pest Infestation,"['disenchant/naturalize', 'out of color token', 'removal-artifact-destroy', 'removal-enchantment-destroy', 'removal', 'removal-artifact', 'removal-enchantment']"
385,Ageless Guardian,['notags']
386,Curate,"['cantrip', 'single english word name', 'surveil', 'card advantage', 'card names', 'draw', 'library manipulation', 'mill', 'mill-self', 'top deck manipulation']"
387,"Dina, Soul Steeper","['alliteration', 'cycle-stx-student', 'lifegain matters', 'opponent loses life', 'power matters', 'sacrifice outlet-creature', 'card names', 'cycle', 'cycle-stx-draft-signpost', 'draft signpost', 'sacrifice outlet']"
388,Dueling Coach,"['gives pp counters', 'mana sink', 'pp counters matter', 'counters matter']"
389,Eager First-Year,"[""bear with set's mechanic"", 'cast trigger-you', 'magecraft', 'cast trigger', 'synergy-instant', 'synergy-sorcery']"
390,Ecological Appreciation,"['divvy', 'opponent chooses', 'reanimate-creature', 'tutor-creature', 'tutor-to-battlefield', 'dilemma', 'reanimate', 'recursion', 'recursion-creature', 'tutor', 'tutor-to']"
391,Efreet Flamepainter,"['free-cast-another', 'grants flashback', 'saboteur', 'synergy-instant', 'synergy-sorcery']"
392,Elemental Expressionist,"['alliteration', 'cast trigger-you', 'cycle-stx-hhhh', 'day zero errata', 'leaves battlefield trigger', 'magecraft', 'repeatable token generator', 'synergy-exile', 'card names', 'cast trigger', 'cycle', 'synergy-instant', 'synergy-sorcery']"
393,Magma Opus,"['activate from hand', 'burn any', 'cycle-stx-treasure-spell', 'draw', 'fun ruling', 'punny name', 'ramp', 'tapper-permanent', 'burn', 'card advantage', 'card names', 'cycle', 'tapper', 'tapper-artifact', 'tapper-creature', 'tapper-land', 'tapper-planeswalker']"
394,Spined Karok,['notags']
395,Verdant Mastery,"['cycle-stx-mastery', 'gift', 'ramp', 'selective group hug', 'tutor-land-basic', 'tutor-land-to-battlefield', 'tutor-to-hand', 'control changing effects', 'cycle', 'group hug', 'tutor', 'tutor-land', 'tutor-to', 'tutor-to-battlefield']"
396,Aeromoeba,"['discard outlet', 'evasion']"
397,Bone Shards,"['discard outlet', 'removal-creature-destroy', 'removal-planeswalker-destroy', 'sacrifice outlet-creature', 'removal', 'removal-creature', 'removal-planeswalker', 'sacrifice outlet']"
398,Carth the Lion,"['death trigger', 'impulse-planeswalker', 'synergy-planeswalker', 'unique cr reference', 'card advantage', 'impulse', 'leaves battlefield trigger']"
399,"Chatterfang, Squirrel General","['evasion', 'flowstone', 'noncreature tribal', 'offcolor ability', 'removal-creature-toughness', 'sacrifice outlet-creature', 'synergy-token', 'token increaser', 'tribal-squirrel', 'removal', 'removal-creature', 'sacrifice outlet', 'typal', 'typal-creature']"
400,Chatterstorm,['notags']
401,Damn,"['removal-creature-destroy', 'single english word name', 'sweeper-creature-destroy', 'card names', 'removal', 'removal-creature', 'sweeper', 'sweeper-creature']"
402,Dermotaxi,"['animate self', 'copy-creature', 'crewless vehicle', 'graveyard fuel-creature', 'hate-graveyard', 'punny name', 'tap fuel-creature', 'animate', 'card names', 'copy', 'graveyard fuel', 'type change']"
